year,SumTrade,CountTradeRela,numCountry
1870.0,1493.73999136,70.0,28.0
1871.0,1789.5100050039998,72.0,28.0
1872.0,1874.5900217000003,64.0,28.0
1873.0,2573.2533704120997,119.0,31.0
1874.0,2284.999991158799,131.0,32.0
1875.0,1964.2800851699972,112.0,30.0
1876.0,2292.2944382837995,128.0,32.0
1877.0,2111.1305271001,128.0,32.0
1878.0,2439.9627780402993,138.0,33.0
1879.0,2599.191589049799,141.0,33.0
1880.0,2263.4748392275005,141.0,33.0
1881.0,2618.141944863,134.0,32.0
1882.0,2548.107547829799,137.0,32.0
1883.0,2662.0303941398097,140.0,33.0
1884.0,2511.9900004110004,138.0,34.0
1885.0,2177.5744265801004,137.0,34.0
1886.0,2280.7006203379888,148.0,34.0
1887.0,2302.0541871464907,171.0,35.0
1888.0,2375.1713843287994,175.0,36.0
1889.0,2596.351484219612,170.0,35.0
1890.0,2514.6802243396,166.0,35.0
1891.0,2743.2930248413213,184.0,38.0
1892.0,2726.7231952724023,177.0,37.0
1893.0,2600.9111030952977,182.0,37.0
1894.0,2455.1903177646104,138.0,34.0
1895.0,2316.5999923910013,163.0,34.0
1896.0,2748.850360869011,182.0,37.0
1897.0,2935.6089008867934,193.0,38.0
1898.0,3342.6199227594398,199.0,38.0
1899.0,3149.41060633559,173.0,39.0
1900.0,3349.5722642692904,186.0,36.0
1901.0,3257.4684242184026,187.0,34.0
1902.0,3505.790306930791,184.0,35.0
1903.0,3788.6079926679818,191.0,35.0
1904.0,3758.1261958281007,187.0,36.0
1905.0,4585.415766443009,243.0,39.0
1906.0,4991.030016845803,215.0,38.0
1907.0,5446.1440957677005,229.0,37.0
1908.0,5258.581672757398,217.0,38.0
1909.0,4881.084778946298,223.0,39.0
1910.0,5918.091127466801,253.0,42.0
1911.0,6048.366496787701,262.0,43.0
1912.0,6747.6511245372885,326.0,42.0
1913.0,7183.091293907762,351.0,41.0
1914.0,309.96000177,9.0,9.0
1915.0,368.0099878,8.0,8.0
1916.0,428.1499962000001,7.0,8.0
1917.0,580.3599867999999,7.0,8.0
1918.0,599.609991,5.0,7.0
1919.0,6610.306177055413,354.0,50.0
1920.0,16368.609463464349,674.0,57.0
1921.0,10480.225000411154,842.0,58.0
1922.0,9592.877615587573,924.0,58.0
1923.0,9712.77983195201,927.0,58.0
1924.0,12056.934605773673,983.0,59.0
1925.0,13817.309758510819,933.0,59.0
1926.0,11586.934992960736,955.0,60.0
1927.0,13769.224425958666,1045.0,62.0
1928.0,13888.437198424499,1057.0,62.0
1929.0,14014.839517299994,1075.0,62.0
1930.0,9565.173713829554,935.0,61.0
1931.0,7820.614500914784,1068.0,62.0
1932.0,5139.996527687744,1085.0,62.0
1933.0,5240.685542774679,1093.0,63.0
1934.0,7258.772949246425,1149.0,64.0
1935.0,7668.277325423485,1092.0,63.0
1936.0,8063.847741238031,1146.0,65.0
1937.0,10383.302331520013,1191.0,65.0
1938.0,9622.937580936768,1166.0,63.0
1939.0,3487.892613540847,730.0,60.0
1940.0,2475.7478805579894,475.0,57.0
1941.0,2038.6897925623666,314.0,52.0
1942.0,3126.6400510393723,178.0,48.0
1943.0,1673.0087750522396,123.0,31.0
1944.0,3172.6220781920833,212.0,52.0
1945.0,2167.6220866021645,351.0,58.0
1946.0,6721.214331790563,442.0,60.0
